cycle_id,source_id,candidate_index,base_config_id,filter_pass,selected,rejection_reason,confidence_score,residual_ratio,max_abs_feature_z,U,Re,Ca,E,h,t,theta1_init_deg,theta2_init_deg,theta3_init_deg,D,H,L,H_soft,b,N_per_column,Cd_soft,Cd_cyl,force,F_physics,F_residual,Cd_stem_eff,Cd_leaf_eff,shielding_coef,reconfiguration_factor,reconfiguration_gain
4,2,0,11,1,0,valid_not_selected,0.5274998545646667,0.12792132794857025,1.3678209781646729,0.13621126115322113,3405.281494140625,29.685604095458984,480000.0,0.009999999776482582,0.0020000000949949026,60.0,180.0,300.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.2097616195678711,0.18597185611724854,0.023789767175912857,1.21653413772583,2.3357160091400146,0.6127108335494995,0.5964158177375793,0.6846103668212891
4,2,1,0,1,0,valid_not_selected,0.9275884628295898,0.015033417381346226,1.8397393226623535,0.3147183954715729,7867.958984375,6.085487365722656,12500000.0,0.019999999552965164,0.0020000000949949026,20.0,120.0,240.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,1.3334839344024658,1.3538367748260498,-0.020352793857455254,1.241133213043213,2.0102481842041016,0.6283903121948242,1.489981770515442,1.2779130935668945
4,2,2,9,0,0,residual_ratio,0.33082014322280884,0.22123607993125916,1.3678209781646729,0.10382923483848572,2595.730712890625,17.248809814453125,480000.0,0.019999999552965164,0.0020000000949949026,60.0,180.0,300.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.28465017676353455,0.23308366537094116,0.05156651511788368,1.2248437404632568,2.1837120056152344,0.7336016297340393,0.7370927333831787,0.7677930593490601
4,2,3,8,1,0,valid_not_selected,0.8299105167388916,0.037287481129169464,1.3678209781646729,0.16476058959960938,4119.0146484375,43.43367004394531,480000.0,0.019999999552965164,0.0020000000949949026,60.0,120.0,240.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.27587756514549255,0.26596057415008545,0.00991700030863285,1.2100741863250732,1.823169231414795,0.433584600687027,1.1297614574432373,0.9622395038604736
4,2,4,9,0,0,residual_ratio,0.3177037239074707,0.2293272167444229,1.3678209781646729,0.13582709431648254,3395.67724609375,29.518388748168945,480000.0,0.019999999552965164,0.0020000000949949026,60.0,180.0,300.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.38329005241394043,0.3117884695529938,0.07150158286094666,1.264268159866333,2.0232038497924805,0.7165802717208862,0.6410306096076965,0.6522177457809448
4,2,5,6,1,0,valid_not_selected,0.7111515402793884,0.06817395240068436,1.005865216255188,0.34103453159332275,8525.86328125,25.161090850830078,3550000.0,0.009999999776482582,0.0020000000949949026,60.0,120.0,240.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.753829836845398,0.8089812994003296,-0.055151451379060745,1.2365466356277466,1.98097825050354,0.455147922039032,0.8880779147148132,0.9330258965492249
4,2,6,10,1,1,accepted,0.8192971348762512,0.03986169397830963,1.3678209781646729,0.14914560317993164,3728.639892578125,35.591041564941406,480000.0,0.009999999776482582,0.0020000000949949026,60.0,120.0,240.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.1593468338251114,0.1659623682498932,-0.006615540944039822,1.239919662475586,1.9681828022003174,0.4366734027862549,1.2328498363494873,1.1487617492675781
4,2,7,3,1,0,valid_not_selected,0.8422748446464539,0.03432978689670563,1.129174828529358,0.3165319263935089,7913.2978515625,6.155822277069092,12500000.0,0.009999999776482582,0.0020000000949949026,60.0,180.0,300.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,1.060634732246399,1.0254318714141846,0.03520285710692406,1.2585042715072632,2.1434032917022705,0.8006507754325867,0.45745590329170227,0.5097443461418152
4,2,8,0,1,0,valid_not_selected,0.8764027953147888,0.026385895907878876,1.8397393226623535,0.1363370269536972,3408.42529296875,1.1420332193374634,12500000.0,0.019999999552965164,0.0020000000949949026,20.0,120.0,240.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.25176918506622314,0.24529682099819183,0.006472376175224781,1.243595838546753,1.9817204475402832,0.721794843673706,1.4895586967468262,1.2071003913879395
4,2,9,9,1,0,valid_not_selected,0.38927528262138367,0.18869370222091675,1.3678209781646729,0.21296042203903198,5324.01025390625,72.56340026855469,480000.0,0.019999999552965164,0.0020000000949949026,60.0,180.0,300.0,0.02500000037252903,0.23000000417232513,0.07999999821186066,0.20000000298023224,0.027499999850988388,5.0,2.0,1.2000000476837158,0.6292077302932739,0.5293270349502563,0.09988068044185638,1.3054742813110352,1.9662164449691772,0.6354116201400757,0.41170352697372437,0.4363771080970764
